GOLD,TIP
342.2,-2.43
344,-2.43
356.1,-2.46
348.7,-2.42
346.75,-2.29
354.6,-2.41
353.15,-2.41
352.35,-2.38
353.75,-2.34
351.9,-2.3
350.85,-2.31
358.2,-2.25
355.55,-2.23
359.25,-2.23
363.3,-2.2
364.1,-2.14
370.8,-2.16
366.45,-2.19
369.85,-2.21
363,-2.2
370.35,-2.19
369,-2.2
374.85,-2.12
385,-2.12
372.5,-2.09
370.55,-2.07
371.75,-2.06
362.15,-2.05
363.15,-2.04
354.25,-2.01
356.25,-2.03
347,-2.05
347.2,-1.99
351.1,-1.91
354,-1.93
352.9,-1.87
359.1,-1.84
352.55,-1.84
354,-1.82
347.65,-1.77
348.45,-1.77
352.4,-1.77
354.5,-1.75
353.25,-1.74
356.6,-1.72
353.1,-1.69
353.15,-1.68
349,-1.68
342.9,-1.73
335.5,-1.89
340.5,-1.97
334.9,-2.08
339,-2.15
335.5,-2.2
332.55,-2.29
330.15,-2.18
333,-2.17
329.6,-2.15
333.15,-2.1
330.3,-2.09
335.35,-2.03
335.65,-2.02
330.25,-2.11
324.7,-2.12
323.2,-2.16
319.75,-2.21
322.3,-2.18
324.1,-2.13
325.1,-2.16
325.05,-2.23
325.6,-2.22
323.7,-2.18
323.85,-2.2
326.1,-2.22
333.25,-2.27
333.8,-2.26
332,-2.22
333.4,-2.18
333.75,-2.16
332.6,-2.22
336,-2.16
338.95,-2.13
341.25,-2.19
342.65,-2.17
343,-2.02
341.4,-2
348.7,-2
350.35,-1.96
350.75,-1.94
348.9,-1.87
353.85,-1.86
352.55,-1.84
359.75,-1.85
368,-1.73
364.9,-1.73
369.6,-1.71
369.7,-1.72
372.35,-1.8
364.55,-1.83
361.1,-1.76
365.8,-1.77
361.3,-1.83
365.3,-1.76
365.3,-1.73
362.6,-1.75
367.35,-1.76
362.8,-1.68
359.4,-1.61
354.15,-1.62
354.2,-1.57
353.95,-1.51
359,-1.59
359.75,-1.7
361.25,-1.79
356.45,-1.74
359.6,-1.77
356.05,-1.71
354.35,-1.68
347.85,-1.71
345.85,-1.85
343.5,-1.9
345.15,-1.9
348.55,-1.92
351.2,-1.96
349.6,-2.09
350.25,-2.14
345.3,-2.12
345.45,-2
343.4,-1.94
344.2,-1.88
344.5,-1.92
348.5,-2.06
343,-2.08
344.6,-2.05
344,-2.04
347.8,-2.21
352.25,-2.19
352.2,-2.11
359.8,-2.18
361.1,-2.14
361.95,-2.27
364,-2.38
359.1,-2.32
355.75,-2.41
353.05,-2.4
348.95,-2.34
349.5,-2.43
352.65,-2.34
350.15,-2.29
353.5,-2.27
357,-2.31
360,-2.29
356,-2.41
362.25,-2.38
363.3,-2.36
361.3,-2.33
358.3,-2.24
362.2,-2.26
364,-2.29
360.75,-2.26
360.75,-2.28
364.3,-2.36
370.9,-2.29
371,-2.29
375.5,-2.43
372.2,-2.4
373,-2.32
371,-2.17
376.4,-2.24
378.2,-2.21
381.15,-2.18
379.05,-2.22
377.5,-2.18
375.3,-2.18
374.9,-2.26
372.9,-2.2
376.95,-2.18
376.3,-2.17
386.2,-2.21
386.45,-2.19
385.25,-2.13
391.85,-2.07
384.1,-1.99
379.85,-2.03
384.5,-1.95
385,-1.96
385.15,-2.01
383.95,-2.16
372.75,-2.11
376.2,-2.17
376.6,-2.18
376.45,-2.2
370.35,-2.14
373.65,-2.18
374.5,-2.2
371.2,-2.21
371.8,-2.14
371.45,-2.13
374.8,-2.12
381.55,-2.07
386.75,-2.03
384.6,-1.92
386.75,-1.96
386.55,-1.91
382.7,-1.98
391,-1.97
384.6,-1.93
383.25,-1.97
378.3,-1.93
382.15,-2.02
381.9,-2.08
381,-2.1
382.85,-2.09
388.05,-2.04
395.5,-1.94
395.35,-1.87
398,-1.82
392.4,-1.83
397.15,-1.91
395.75,-1.92
393.85,-1.93
394.25,-1.99
391.5,-1.92
392,-1.96
398.1,-2.03
398.75,-2.08
401.05,-2.05
403.3,-2.08
402.4,-2.04
402,-1.92
408.75,-1.96
408.25,-2
407.3,-1.97
404,-1.9
406.6,-1.91
404.5,-1.98
409.7,-1.99
407.5,-1.96
410.75,-1.94
408.75,-1.95
410.8,-1.98
409.6,-2.03
410.8,-1.96
413.5,-1.99
415.6,-2.01
417.25,-2
415.2,-2.06
417.75,-2.06
428,-1.97
420.65,-1.94
418.1,-1.99
422.8,-1.89
428.2,-1.89
424.5,-1.83
421,-1.85
415.5,-1.82
410.3,-1.83
408.3,-1.84
411.25,-1.79
412,-1.76
411.4,-1.82
406.2,-1.89
404,-1.84
410.7,-1.92
410.15,-1.91
401.3,-1.85
401.85,-1.84
401.75,-1.81
399.6,-1.82
399.3,-1.85
396.4,-1.79
406.7,-1.76
408.35,-1.79
406.4,-1.75
411.4,-1.77
412.1,-1.74
413.7,-1.75
415.9,-1.75
410.2,-1.76
408.25,-1.79
399.85,-1.76
401.45,-1.74
403.4,-1.71
395.05,-1.69
392.25,-1.61
398.5,-1.55
398.6,-1.58
390.35,-1.59
394.15,-1.6
393.5,-1.46
399.4,-1.43
401.2,-1.4
400.8,-1.45
397.4,-1.5
400.75,-1.52
399,-1.47
399.6,-1.4
402,-1.36
407.15,-1.37
411,-1.44
414.1,-1.42
415.2,-1.41
417.6,-1.38
416.6,-1.4
417.5,-1.47
420.9,-1.5
419.15,-1.52
423,-1.48
425.3,-1.48
426.1,-1.69
420.55,-1.75
416.95,-1.73
419.25,-1.82
422,-1.8
417.45,-1.88
405.75,-1.91
398,-1.93
399.75,-1.87
405.3,-1.87
398.8,-1.97
393.75,-1.96
391.35,-1.98
396.25,-2.12
396.5,-2.03
397.15,-2
396.75,-2.1
382.75,-2.15
387.3,-2.11
389.75,-2.1
394.3,-2.1
392,-2.15
386.85,-2.24
374.1,-2.25
378,-2.21
381.15,-2.17
375.5,-2.18
373.5,-2.16
380.8,-2.07
379,-2.05
380.2,-2.03
380.45,-1.96
382.25,-2.04
383.85,-2.01
387.6,-2.03
390.5,-1.99
391.45,-1.97
393.85,-2
395.85,-1.97
395.85,-2.04
391.4,-2.05
388.1,-2.11
393.45,-2.11
394.95,-2.15
389.3,-2.2
384.25,-2.18
382.9,-2.26
382.3,-2.16
387.75,-2.18
386,-2.16
388.7,-2.15
393.85,-2.16
394.6,-2.17
395.25,-2.18
396.75,-2.15
401.15,-2.16
401.7,-2.23
396.75,-2.2
393.75,-2.1
394.5,-2.04
394.7,-1.96
398.4,-1.97
397.35,-2
402.2,-2.02
406.6,-2.02
408.55,-2.02
404.25,-2.03
403.3,-2.02
403.9,-2.01
403.7,-1.94
406.95,-1.96
405.5,-2.05
401.1,-2.05
395,-2.03
392.85,-2
391.65,-2.05
392.25,-2.15
386.2,-2.11
388.75,-2.07
389.6,-2.01
393.25,-2
390.6,-1.98
392.7,-2
391.8,-1.96
392.25,-1.82
398.6,-1.85
399.05,-1.9
396.25,-1.86
396.25,-1.81
392.75,-1.77
399.3,-1.82
401.45,-1.82
403.2,-1.83
406.3,-1.76
405.8,-1.79
409.95,-1.86
406.9,-1.87
405.5,-1.88
405.95,-1.86
406.85,-1.86
408.1,-1.78
408,-1.77
407.8,-1.83
405.8,-1.88
401.8,-1.86
398.1,-1.82
399.25,-1.83
400.65,-1.83
400.75,-1.81
403.5,-1.81
404.8,-1.86
404.4,-1.81
404.6,-1.85
404.15,-1.8
405.45,-1.8
407.5,-1.73
408.05,-1.76
409.45,-1.78
409,-1.72
410.3,-1.7
411.55,-1.76
412.35,-1.77
418.15,-1.83
416.85,-1.86
414.25,-1.84
417.95,-1.9
417.9,-1.89
418.05,-1.78
418.2,-1.75
412.45,-1.72
414.65,-1.68
417.8,-1.7
418.5,-1.71
416.25,-1.7
421.7,-1.66
425.5,-1.62
422.4,-1.64
429,-1.63
427.15,-1.63
425.85,-1.73
423.85,-1.68
426.2,-1.63
428.1,-1.67
425.1,-1.61
422.2,-1.61
426.3,-1.65
428.75,-1.71
432.95,-1.72
432.3,-1.74
435.1,-1.75
436.9,-1.71
439.5,-1.67
437.95,-1.68
444.5,-1.63
444.3,-1.64
443.7,-1.67
447,-1.62
447,-1.65
448.65,-1.64
451.55,-1.66
450.4,-1.74
452,-1.75
451.1,-1.79
454.35,-1.83
449.15,-1.73
455.75,-1.7
453.75,-1.69
445.75,-1.62
437.35,-1.64
433.9,-1.66
436.95,-1.65
438.6,-1.62
437.8,-1.57
441.25,-1.64
439.2,-1.64
441.75,-1.62
441.85,-1.59
442.7,-1.63
442.4,-1.62
443.5,-1.73
435.15,-1.7
438,-1.68
426.8,-1.78
425.5,-1.79
425.8,-1.76
423.15,-1.8
421.25,-1.77
422.55,-1.76
421.7,-1.73
424.65,-1.7
421.7,-1.72
422.55,-1.71
424.1,-1.7
421.7,-1.7
423.3,-1.69
427.6,-1.68
426.2,-1.74
423.7,-1.72
426.3,-1.72
426.4,-1.65
423.8,-1.65
421.15,-1.67
421.9,-1.7
419.8,-1.73
416.5,-1.65
414.5,-1.62
411.5,-1.57
413.2,-1.49
413.5,-1.57
417.05,-1.57
422.8,-1.54
424.6,-1.61
424.15,-1.65
426.6,-1.65
426.55,-1.67
430.75,-1.67
433.25,-1.64
434.75,-1.65
432.4,-1.64
436.55,-1.7
434.65,-1.69
429.15,-1.69
433.25,-1.69
429.65,-1.65
433.6,-1.63
434.85,-1.67
439.9,-1.77
440.2,-1.76
440.95,-1.82
442.75,-1.82
442,-1.82
441.2,-1.79
442.65,-1.73
436.65,-1.77
436.25,-1.8
430.65,-1.87
427.25,-1.92
424.9,-1.9
426.95,-1.91
426.5,-1.89
427.5,-1.79
427.45,-1.77
425.95,-1.79
423.7,-1.81
426.6,-1.8
426.4,-1.85
425.4,-1.84
428.1,-1.82
429.15,-1.73
428.85,-1.74
427.2,-1.72
423.65,-1.67
425.65,-1.66
426.9,-1.62
432.4,-1.6
433.4,-1.66
433.4,-1.61
433,-1.63
434.7,-1.66
434.1,-1.65
432.75,-1.58
433.2,-1.61
429.2,-1.64
429.2,-1.63
430.5,-1.62
429.7,-1.69
425.8,-1.69
426.9,-1.65
428.35,-1.64
426.25,-1.66
421.45,-1.66
419.9,-1.66
420.35,-1.64
419.4,-1.65
421.75,-1.69
420.7,-1.67
417.6,-1.65
418.25,-1.62
418.5,-1.66
418.75,-1.69
418.6,-1.67
416.9,-1.63
416.1,-1.54
417.2,-1.55
423.2,-1.61
424.8,-1.6
426.6,-1.6
424.9,-1.63
423.55,-1.64
422.75,-1.74
425.6,-1.76
426.95,-1.79
426.65,-1.79
431.3,-1.75
436.05,-1.72
440.5,-1.74
434.35,-1.72
437.5,-1.68
437.15,-1.68
442.95,-1.65
439.35,-1.62
437.5,-1.67
434.9,-1.69
436.8,-1.67
434.2,-1.75
426,-1.8
423.85,-1.78
427.85,-1.77
423.75,-1.83
425,-1.81
426.95,-1.83
425.55,-1.87
422.5,-1.94
419.6,-1.95
421.6,-1.98
420,-1.92
420.65,-1.9
423.65,-1.95
426.35,-1.89
424.85,-1.94
424.5,-1.92
422.75,-1.92
425.3,-1.86
427.15,-1.92
431.35,-1.95
431.85,-1.99
433.6,-1.93
435.6,-1.94
437.5,-2
436.85,-2.02
434.7,-2.02
436.3,-2.01
437.8,-1.97
447.25,-1.91
442.6,-1.92
440.85,-1.87
444.25,-1.91
439,-1.86
439.25,-1.85
437.5,-1.86
439.85,-1.85
438.25,-1.83
439,-1.8
438.5,-1.81
436.15,-1.71
433,-1.65
435.5,-1.61
446.3,-1.59
443.5,-1.65
444.5,-1.69
444.8,-1.68
446.7,-1.64
449.15,-1.69
448.7,-1.67
447.85,-1.68
449.1,-1.71
458.1,-1.73
461.95,-1.7
470,-1.74
467,-1.68
472.75,-1.67
464.5,-1.74
461.05,-1.78
465.65,-1.77
462,-1.73
472.5,-1.75
473.4,-1.78
465,-1.84
467.5,-1.87
465.25,-1.86
466.3,-1.91
472,-1.9
475.5,-1.92
478.5,-1.96
471.25,-1.96
470.7,-1.98
472.35,-1.94
473,-1.92
468.4,-1.92
464,-1.92
463.15,-1.89
463.75,-1.93
467,-2.05
471.55,-2.06
473.25,-2.01
473.65,-2.01
472.65,-2
465.55,-2
461.65,-2.02
464.8,-2.03
461.35,-2.06
457.6,-2.03
457.15,-2.01
462.6,-2.08
467,-2.07
469.75,-2.14
467.55,-2.12
470.65,-2.07
480.75,-2.04
487.9,-2.09
488,-2.08
493,-2.03
488.85,-2.08
495.7,-2.05
497.3,-2.04
497.1,-2.11
493.8,-2.12
494.4,-2.15
504.75,-2.16
505,-2.17
508.25,-2.12
512.3,-2.18
514.85,-2.14
524.75,-2.18
537.5,-2.17
522.8,-2.16
513.75,-2.1
502.4,-2.12
502.5,-2.11
507.45,-2.11
505.75,-2.12
494.5,-2.14
494.75,-2.11
503.6,-2.07
509.15,-2.1
517,-2.07
513,-2.06
520.75,-2.03
534.35,-2.01
531.6,-2.04
529.5,-2.05
541,-2.05
545.25,-2.06
542.25,-2.07
547.5,-2.01
547.25,-1.97
558.05,-1.95
544.75,-1.97
547.7,-1.97
559.25,-1.94
558.5,-1.94
556.65,-1.97
562.25,-2.03
562.25,-2.01
559.75,-2.02
560.3,-2.03
569.8,-2
567.2,-2.02
571.85,-2.04
571.85,-2
570,-2
568.25,-2.02
548.65,-2.07
559,-2.05
558.75,-2.09
546.6,-2.08
540.5,-2.14
544.3,-2.13
540.65,-2.1
545.75,-2.03
553.4,-2.04
551.75,-2.01
552.5,-2.03
550.75,-2.02
556.1,-2.04
556.5,-2.02
562.6,-2.02
563.75,-2.05
568.6,-2.07
568,-2.14
555.25,-2.16
548.6,-2.2
547.25,-2.2
545.4,-2.23
545.25,-2.24
545.25,-2.17
551.25,-2.18
553.25,-2.12
555.5,-2.16
554.25,-2.15
553,-2.23
548.5,-2.23
548,-2.24
549.75,-2.2
564,-2.23
563.75,-2.3
562.25,-2.32
578.5,-2.35
584,-2.35
585.5,-2.36
585,-2.38
583.85,-2.34
595.5,-2.38
597,-2.43
597.5,-2.41
599.5,-2.37
596.75,-2.41
597,-2.48
616.75,-2.38
623.75,-2.38
644.5,-2.42
623.5,-2.39
634,-2.39
627.75,-2.47
630.75,-2.51
636.5,-2.45
638.25,-2.39
657.75,-2.43
675.25,-2.47
664.65,-2.49
682,-2.45
682,-2.45
679.75,-2.43
704.3,-2.43
707,-2.43
725.75,-2.47
693,-2.47
681,-2.44
713,-2.47
688,-2.41
682,-2.43
645.5,-2.43
661.7,-2.44
667.5,-2.42
643.75,-2.46
652,-2.44
652.25,-2.45
654,-2.48
633.25,-2.46
630.8,-2.37
644.5,-2.4
634.6,-2.44
623.5,-2.48
619,-2.47
612.25,-2.45
607.75,-2.45
590.75,-2.44
567.25,-2.5
574.25,-2.52
581.5,-2.54
569.75,-2.58
571,-2.58
576.5,-2.59
594.4,-2.61
582.6,-2.64
586.25,-2.67
587.7,-2.63
584,-2.68
581.75,-2.61
600.4,-2.54
619.5,-2.56
625.75,-2.63
623.75,-2.59
631,-2.55
624.5,-2.56
628.35,-2.53
642,-2.54
648.8,-2.51
660.4,-2.5
671.5,-2.49
647.5,-2.55
626,-2.49
642.9,-2.45
626.75,-2.49
616.4,-2.49
618.75,-2.48
617.75,-2.44
634.2,-2.47
631.25,-2.41
637,-2.41
635.5,-2.4
648.25,-2.36
646.25,-2.35
644.5,-2.3
647.25,-2.29
645.4,-2.27
640.5,-2.28
650.5,-2.3
641.55,-2.33
628,-2.36
624.75,-2.32
626,-2.28
630.75,-2.28
614.75,-2.26
621.5,-2.23
626.5,-2.22
623.5,-2.25
623.5,-2.28
622,-2.24
616.85,-2.29
614.7,-2.28
621.75,-2.24
624,-2.25
629.75,-2.31
636.7,-2.32
634,-2.34
611.5,-2.35
597.1,-2.38
596,-2.36
581.5,-2.35
593.4,-2.35
578.6,-2.38
581.5,-2.39
582.5,-2.35
576.25,-2.39
580.5,-2.31
592,-2.27
589.5,-2.24
591.25,-2.25
595.1,-2.26
603.5,-2.27
601.75,-2.27
